	S1_a_WGS	S101_a_WGS	S102_a_WGS	S103_a_WGS	S117_a_WGS	S119_a_WGS	S128_a_WGS	S13_a_WGS	S130_a_WGS	S132_a_WGS	S134_a_WGS	S138_a_WGS	S139_a_WGS	S14_a_WGS	S140_a_WGS	S142_a_WGS	S144_a_WGS	S146_a_WGS	S148_a_WGS	S149_a_WGS	S15_a_WGS	S150_a_WGS	S151_a_WGS	S152_a_WGS	S153_a_WGS	S154_a_WGS	S155_a_WGS	S156_a_WGS	S157_a_WGS	S158_a_WGS	S159_a_WGS	S16_a_WGS	S160_a_WGS	S161_a_WGS	S162_a_WGS	S163_a_WGS	S164_a_WGS	S165_a_WGS	S166_a_WGS	S167_a_WGS	S17_a_WGS	S18_a_WGS	S2_a_WGS	S26_a_WGS	S27_a_WGS	S28_a_WGS	S29_a_WGS	S3_a_WGS	S30_a_WGS	S31_a_WGS	S32_a_WGS	S33_a_WGS	S34_a_WGS	S35_a_WGS	S36_a_WGS	S4_a_WGS	S43_a_WGS	S45_a_WGS	S46_a_WGS	S47_a_WGS	S48_a_WGS	S49_a_WGS	S5_a_WGS	S50_a_WGS	S51_a_WGS	S52_a_WGS	S53_a_WGS	S54_a_WGS	S55_a_WGS	S56_a_WGS	S57_a_WGS	S58_a_WGS	S59_a_WGS	S6_a_WGS	S60_a_WGS	S62_a_WGS	S63_a_WGS	S64_a_WGS	S65_a_WGS	S66_a_WGS	S67_a_WGS	S68_a_WGS	S69_a_WGS	S70_a_WGS	S71_a_WGS	S72_a_WGS	S73_a_WGS	S79_a_WGS	S80_a_WGS	S81_a_WGS	S82_a_WGS	S83_a_WGS	S84_a_WGS	S87_a_WGS
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme	0.02939	0	0	0	0	0.03759	0	0.22839	0	0	0	0.01097	0.09803	0.00233	0	0.0469	0	0.0695	0	0	0	0	0	0	0	0	0	0.13221	0	0.02618	0	0.05476	0	0.00428	0	0	0	0	0	0	0.03856	0.06284	0.23303	0	0	0	0	0.25509	0	0	0.19965	2.12595	1.77496	2.0996	0.37427	0.28479	0	0	0	0	0	0	0.08037	0.30131	0	0	0	0	0	0	0	0	0	0.01024	0	0.15469	0.49412	0.61601	1.23214	0.03044	0.06398	0	0	0	0.07797	0.04695	0.06354	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.01892	0	0	0	0.24693	0	0	0	0	0	0	0	0	0	0	0	0	0.24545	0	0	0	0	0	0	0	0.02502	0	0	7.74772	0	0	0	0	0	0	0	0	0.01308	0	0.00129	0	0	0.07127	0	0	0	0	0.01901	0	0	0	0	0	0	0	0.24166	4.80875	0.04115	0.55328	0	0.03245	0	0.43367	0	0	0	0	0	0	0.06179	0.08724	0.14553	0.04819	0	0.00737	17.1534	5.18752	0.03497	0.11137	10.61017	0.24851	8.00549	22.13983	34.64984	0	0.04942	0	0	0.18551	0.02811	0	0.14479	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_471	0.01412	0	0.01028	0	0	0	0	0	0.39082	0.00154	0	0.00164	0	0	0	0	0	0	0	0	0	0.00364	0.00146	0.0072	0	0.02431	0	0	0	0.00107	0	0	1.42995	0	0	2.36747	0	0	0.00282	0.00248	0	0	0.00199	0	0	0	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00079	0	2.3883
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0.00733	0	0	0	0	0	0	0	0	0	0	0.01884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02964	0.00475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0	9.74165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77147	0.83188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03598	0	3.05393	0	0	0	0	0.018	0	0	0	0	0.27822	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13707	0	0	1.06799	2.73885	0.27859	0	0	0	0.68355	0	0	0	0	0	0	0.59138	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0	9.50675	0	0	1.31907	0.74426	0	0	0.05529	0	0.20069	0	0.04568	0	0	0	0	0.11877	0	0	0	0.04957	0.07002	0	0	0	0	0	0.95531	0	0	0	0	0	0	0	0	0	0	0	0.09504	0	0	0.5447	4.12956	1.20391	1.34488	0	0.43655	1.24923	2.17985	0.05114	0.05074	0.10365	0.07446	0	1.34064	1.27144	2.95712	0.09672	0.03827	9.34167	0	0	0.03392	0	0	0	0.10264	0.42935	0	0	0.60549	0	0	0.54303	0.61648	0.37313	0.03545	0.97293	0.06324	0.05436	1.83824	3.67974	0.09962	0	0	0	1.25104	0	0	0	0	0.07218
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0	5.9844	0.46312	0	2.50685	5.33162	2.05687	1.28779	3.42141	5.13802	5.64502	3.49897	1.9888	1.18528	2.29217	1.66674	1.45247	0.85896	0.03318	3.57432	0	1.55617	1.42959	11.11377	0.75418	0.53677	0.56108	3.01807	4.13797	2.11627	0.89039	0.78215	1.48367	5.15055	2.82327	1.37842	2.23479	2.43407	1.82738	1.47078	2.16682	1.04632	0	5.29683	0	0	0	0	0	0	0	0	0	0	0	0	0.75506	6.17668	0	0	0	0	6.26819	1.721	1.58877	9.42747	10.06487	10.2543	4.49873	3.10855	1.72927	4.85336	0.45644	0.26751	1.8984	0.59377	2.83585	0.86446	1.43307	1.74329	0.72403	0	0	0	1.93516	0.7298	1.97147	1.56532	0.59815	5.67059	7.17817	1.48135	0.6561	1.60131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0	3.49222	0	0	3.26674	1.34025	0.95717	4.62287	1.28021	2.93914	5.4278	2.92909	5.74388	5.22189	0.24237	1.81986	2.11138	1.03698	0	0.39993	1.67923	0.35682	1.58743	1.2923	3.41725	1.35113	3.25995	2.97349	3.94645	2.03276	1.47015	2.19738	4.48502	2.76204	8.69327	4.91671	8.38249	0.34227	0.8849	3.36687	10.94153	3.75997	0	1.60077	0	0	0.50793	0	0	0.7157	0.2205	0.03717	0.35155	0.21634	0.22237	0	0.13833	0.28445	0	0	0	0	0	3.26479	1.56501	8.1963	8.49966	16.91653	2.05837	0	0	0	0	1.88015	0.15305	0	0	0	0	0	1.71305	0	0	0	2.37932	2.73067	2.63117	1.29805	0.12121	1.41906	0.75617	1.88504	0.14621	5.46071
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica	0	2.55732	0.08502	0.43794	0	0	0	0	0	0	0.01454	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03307	0	0.2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02748	0	0	0	0	0	0	0.33232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	0	1.7119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72406	1.30411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04445	0	0	1.75662	4.07188	0.28568	0.02004	0	0	0.08686	0	0	0	0	0	0	0.1402	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0	1.25356	1.60055	0	1.72545	3.71343	0.63817	0	5.51373	1.91758	2.40656	4.27807	2.09285	0	0.87338	2.42811	1.21737	0.74813	0	2.13198	0	0.5074	0.86077	2.70592	1.15734	1.08699	3.33132	3.39648	0	0	0.66419	0	8.99705	15.0874	2.55684	1.34844	1.64907	2.89608	2.38865	1.62712	0	1.86305	0	14.70028	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61429	0	0.85684	1.32021	9.34911	0	0	1.07988	0	0	0	1.24098	0	0	0	0	0.96257	0	1.41798	3.47257	11.58824	0.43166	4.22473	2.2133	0	0	0	1.5941	5.6489	2.48732	3.36561	4.39623	0	0.93261	1.79699	0	5.91973
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis	0	0.76898	0.18022	0	0	0	0	0.0046	0	0	0	0	0	0.02066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00163	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	0	0.69487	0.00223	0.01618	0.26972	0.29061	0.46882	0.29445	1.30206	0.17326	0.22747	0.14702	0.59901	2.33216	0.43042	1.13406	0.05969	0.48837	1.53947	3.03897	3.28502	7.8153	9.15408	1.8924	0.33745	0.01067	0.55903	0.03283	0.76337	0.09223	0.02709	0.91883	0.00779	0	0	0.03631	0.03654	0.08701	0.00426	0.06983	0.68822	0.1604	0.35694	4.71919	0	0	0	0.42082	0	0	0	0	0	0.33937	0.06654	0.44054	0.56067	0	3.29052	0.69537	0.72442	4.61012	0	0.5493	0.19649	0.64808	0.77209	1.90745	0.20834	1.2947	0.871	0.66658	1.33729	0.03453	1.40728	0.21877	1.47881	0.72518	1.05903	0.71919	0.08834	0	0	0	1.16303	0.08084	0.28533	0.16637	0.28172	1.75974	0.30918	0.03341	3.57151	1.3584
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	0	0.52779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61316	0	0	0	0	0	0	0	0	0	0.0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06972	0.31602	0.01609	0	0	0	0.17071	0	0	0	0	0	0	0.1722	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0	0.28633	0	0	0	0.05558	11.79266	0	1.17768	0	0.27397	0.00094	0	0	11.47262	0	0	0	0	0	0	0	0	0	0	3.4549	0.62896	1.58406	0	0	0	0	0	0.58472	2.4757	0	0.11748	11.1634	2.31509	1.46216	0	0.02319	0	0	0	0	0	0	0	0	18.39852	1.83014	3.49525	1.58762	0	0	18.64221	0	0	0	0	0	0	0	0.63875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22037	0	0	0	0	0.18945	0	0.10322	5.30209	7.65852	0	0.09551	63.30495	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi	0	0.26541	0	0.03387	0	0	0	0.11593	0	0	0	0	0	0.2233	0.04963	0	0	0	0	0	0.89959	0	0	0	0	0	0	0	0	0	0	0.38493	0	0	0	0	0	0	0	0	0.10594	0	0.20162	0	0	0	0	0.02204	0	0	1.53446	2.53829	1.38656	0.65087	0.07755	0.16194	0.62655	0	0.15473	0.19091	0.02014	1.14962	0.10072	0	0	0.01422	0	0	0.00287	0	0.12863	0.02301	0.17939	0	0.44742	0.83494	1.7941	0.00901	0.78271	0.84534	0.00887	0	0	0	0	0	0	0	1.74217	0	0.21953	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0.24235	0	0	0	0	7.31397	0	0	0	0	10.49409	0	0	20.3552	0	0	0	0	0	0	0	0	0	0	11.57267	0	0	0	0	2.2084	0	9.32984	3.91189	0	0.52898	5.29092	12.16105	3.52433	0	0	1.52976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3141	0	0	0	0	0	0	0.0842	3.48456	0.61265	0	0.63196	7.49245	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59	0	0.21133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00511	0	0	0	0	0	0	0	0	0	0	0.03989	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0	0.1636	0.01073	0	0	0	0.10099	0	0	0.2111	0.13368	0	0	0	0	0	0.34072	0.24462	0.36721	0	0	0.3066	0.04433	0	0.08462	0.10803	0	0.08642	1.95207	0	0.00314	0	0	0	0	0	0	0	0	0.00708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15889	0.10465	0	0	0	0	0	0	0	1.30301	0	0	0	0.10838	0.01902	0.00843	0.01031	0.05832	0	0.02849	0	0	0	0	0	0	0	0	0	0	0.0044	0.23237	0	0.045	0	0	0.16823	0	0.25146
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum	0	0.14708	0.02638	0	0	0	0	0.20131	0	0	0.02199	0	0.00884	3.94282	0	0.01921	0	0	0	6.88394	1.93938	4.2491	5.80213	1.05506	0.01644	0	0	0	0.15628	0	0	2.05699	0	0	0	0	0	0	0	0	0.52069	0	0.02741	0	0	0	0	0	0	0	0.62945	4.99571	2.07361	4.28522	0.06144	0.02489	0.18756	0.0237	4.39651	0.16957	0.35421	0.25702	0.13496	0	1.54537	0.26084	0.04285	0.17943	0.00513	0.14934	0.1407	0.13116	0.08637	0	0.60399	0.71542	1.60083	0.04974	0.3983	0.46519	0.03583	0	0	0	0.09086	0	0	0	0.33365	0.1618	0.43479	0	0.14442	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae	0	0.14678	0	0	0	0	0	0	0	0	0	0	0	0	0.00342	0	0	0	0	0	0	0.12877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03347	0.06087	0	0	0	0	0	0	0	0	0	0	0	0	1.50008	0	0	0	0	0	0.03293	0	0	0	0.02576	0	0	0	0.01636	0	0.2185	0	0	0	0	0	0	0	0	0	0	0	0.00939	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	0	0.09916	0	0	0	0	0	1.46654	0	0.09203	0	0	0	0.03768	0.21308	0	0	0	0.31419	0	0	0.13203	0.03302	0	0	0	0	0	2.28244	0.04205	0	0.03435	0	0	0	0	0	0.0369	0	0	0.64642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03435	0	0	1.1731	0.10155	0	1.25642	0	0	0	2.01517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01181	0.04146	0	0	0	0	0	0.10869
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250	0	0.05612	0	0	0	0	0.02469	0.14898	0	0	0	0	0	0	0.03879	0.09358	0	0.05183	0	0	0	0	0.00771	0	0.0081	0.14109	0	0	0.00401	0	0	0	0	0	0	0	0	0	0.06422	0	0.10144	0.05039	0	0	0	0	0	0	0	0	0	0	0	0.06508	0.02165	0.02626	0.06274	0	0	0	0	0.01225	0	0	0	0	0	0	0	0.05487	0.04371	0	0.00945	0	0.42956	0	0	0	0	0	0	0	0	0	0	0	0	0.02502	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_145	0	0.02989	0.0114	0.04225	0	0	0	0.1221	0	0	0	0	0	2.02039	0	0	0	0	0	0	3.42945	0	0	0	0.05068	0.01514	0.3838	0	0	0	0	2.49498	0	0	0	0	0	0	0	0.16905	0.58569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07168	0	0.49751	0.71459	3.43363	0	0	0	0	0	0	0	0	0	0	0	0	0.00336	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0	0.01027	0	0	0	0.66345	0.15383	0	1.02849	0.51007	0.72594	0.9077	0.24885	0	0.01216	0.25512	0.3086	0.11433	0	0.20076	0	0.28225	0.07433	0.57818	0.56921	0.2566	0.2704	0.89831	0	0.51104	0.36367	0	1.53937	2.56945	0.64747	0.30187	1.53897	0.84304	2.05449	0.69554	0	1.25775	0	1.63397	0	0	0	0	0	0	0.26534	0	0	0.02895	0.72684	0	0.22688	0.26338	0	0	0	0	0	0	0	0.00609	0	0.00735	0.00536	0	0	0	0	0.17322	0	0	0	0	0	0	0.0207	0	0	0	0	0.08534	0.02354	0.24226	0.26769	0.31469	0	0.21494	0	0.40765
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group	0	0.0086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03398	0.00731	0	0.01842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00315	0	0	0	0.04903	0.05918	0.00457	0.20191	0	0	0.24251	0	0	0	0	0	0.01635	0	0	0	0	0	0	0.02638	0	0	0	0	0	0	0	0	0	0.02277	0.00246	0.03682	0	0	0	0	0	0	0	0	0	0.00722	0.14571	0	2.05419	0.53117	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens	0	0.00743	5.92925	0.06233	0	0	0	0.01361	0	0	0	0	0	0.08519	0	0	0	0	0	0.3472	0.11937	0.0554	0.07446	0	0	0	0	0	0.00383	0	0	0.07314	0	0	0	0	0	0	0	0	0.01644	0	0.00484	0	0	0	0	0	0	0	0	0	0	0	0	0.03012	0	0	5.55243	5.99966	4.74327	0	0	0	0	0.06438	0.08337	0.26038	0	1.08426	0.75697	0.33179	0.27344	0	0.20988	0	0	0	0	0	0	0	0	0	0.0528	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.16381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00165	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45877	0	0	0	0	0.14071	0	0	0	0	0	0	0	0.04444	0	0	4.32915	3.88821	1.99078	3.32328	0	0	0	0.01998	0.0447	0	0.15511	0.58626	1.68506	1.63486	1.45714	0	2.41996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0	0	82.78296	98.73723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12502	0	0	0	0	0	0	0	0	0	0	6.96404	4.70649	2.09191	0	18.5728	2.3814	0	0	0.10477	0	4.65488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00443	0	0	30.43189	0	0	61.42397	6.00634	27.91602	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum	0	0	0.96862	0	0	0	0	1.14987	0	0	0	0	0	5.87686	0	0	0	0	0.15578	1.17563	0.39692	1.14717	1.18539	2.38262	0	0	0	0	0	0	0	0.88155	0	0	0	0	0	0	0	0	1.25726	0	0.32734	0	8.32455	10.25179	4.00564	0.16428	15.21366	4.49868	0.29675	0.3239	0.06816	0.16615	0	0	0.03484	0	3.31574	0.6014	1.46919	0.99649	0	0	0	0	0	0	0	0.04601	0	0.02202	0.72744	0	1.28666	0.66808	0	0.0091	0.15695	0.03122	0	2.73818	0.82639	2.35146	0.0935	0	0	0.00345	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex	0	0	0.139	0.34007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01212	0	0	0	0	0	0	0	0	0.00673	0	0	0	0	0	0.09103	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12	0	0	0.01455	0	0.02776	0	0	0.01179	0	0	0	0	0	0	0	0	0.00432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00681	0	0	0.00742	0	0	0	0	0	0	0	0	0	0.04227	0	0	0.01324	0	0	0	0.02831	0.00347	0	0	0	0	0	0	0	0.02773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00742	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	0	0	0.00976	0.00165	0.07551	0.57603	0	0	0.11964	0	0.06135	0	0	0	0.19395	0.13311	0.15798	0	0	0	0	0	0	0	0.05557	0.03986	0.14839	0.12104	0	0	0.01241	0	0	0	0	0	0	0	0	0.02055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50466	0	0	0	0	0	0	0	0.1701	0	0.085	0.02895	0.44683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201	0.54893	0.25507	0	0	0	0	0	0.45381
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens	0	0	0.00497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05202	0	0	0	0.17988	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_methylpentosum	0	0	0.00399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347	0	0	0	0	0.03661	0.07395	0.02244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	0	0	0.00359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00906	0	0.02531	0	0	0	0	0	0	0.03565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.75472	0.27607	0	0	0	0	1.53488	0	0	0.17522	0	0	0.23549	0	0.00809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18485	0.01922	0	0	0.30631	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii	0	0	0	0.04378	0	0.0109	0	0	0	0	0	0	0	0.03625	0	0	0	0.11352	0.01052	0	0	0.10889	0.12404	0	0	0	0.47395	0	3.28774	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	0.00177	0	0	0	0.11328	0	0	0.11326	7.42907	0.23053	0.81942	2.85783	0.0482	0.02459	0.20787	0	1.47854	0.01474	0.0875	0	0.01751	0	0	0	0	0.01385	0.0141	0.0356	0.02715	0.0303	0.92204	0	0.26444	0.47139	1.2443	0	0	2.53283	0.02383	0	0	0	0.0059	0	0	0.01066	0	0	0	0.02434	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_citreum	0	0	0	0.02987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Terrisporobacter|s__Terrisporobacter_othiniensis	0	0	0	0.01439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
